age,n_eye,N_DUSUAL_1,N_DUSUAL_2,N_VA,N_WAT_C,N_CA,N_CHO,N_PROT,N_FAT,HE_HP,HE_BMI,smoke,E_Q_FAM,E_Q_SUN,BP8
10대 중반,24,59,78,714.71,5.02,456.32,312.78,70.3,48.31,0,20.83,0,62,38,7.21
10대 초반,21,62,44,634.77,6.8,474.64,302.18,63.95,41.8,0,19.26,0,21,12,8.02
10대 후반,19,43,43,683.36,4.78,419.04,294.91,68.03,50.51,1,21.85,22,28,28,6.96
10세 미만,20,65,137,526.42,3.96,461.46,221.1,47.58,31.79,0,16.73,0,0,0,0.0
20대 중반,21,65,46,792.75,5.48,466.52,294.55,71.44,49.56,9,22.1,160,38,36,7.22
20대 초반,10,31,37,610.32,5.22,421.39,254.38,62.91,45.38,4,22.31,71,22,31,7.23
20대 후반,9,48,26,817.67,10.02,515.59,298.95,74.1,45.78,5,23.27,118,34,19,7.11
30대 중반,9,98,68,814.4,5.32,509.51,319.14,71.63,43.1,51,23.24,263,92,65,7.05
30대 초반,8,45,47,809.82,5.47,494.25,298.15,71.11,44.43,23,23.24,150,34,21,7.09
30대 후반,11,68,36,887.51,5.3,477.65,300.69,68.96,39.79,51,23.3,217,61,40,6.96
40대 중반,16,72,46,948.3,5.29,514.89,306.89,67.17,36.12,104,23.87,222,77,54,6.77
40대 초반,10,68,31,905.37,5.35,507.67,315.4,70.49,38.24,56,23.86,176,60,47,6.89
40대 후반,7,46,22,882.51,5.47,512.79,310.18,68.59,33.17,83,23.79,161,44,55,6.75
50대 중반,11,58,26,830.97,7.97,521.5,320.4,67.06,30.52,150,24.5,185,54,79,6.64
50대 초반,12,40,22,888.64,5.3,541.55,330.84,68.3,32.71,108,24.03,148,49,63,6.78
50대 후반,6,34,18,807.48,8.69,493.95,324.08,63.01,27.59,126,24.34,124,28,64,6.66
60대 중반,23,23,21,692.79,7.33,432.41,300.62,55.3,23.35,209,24.08,160,25,111,6.52
60대 초반,15,29,19,803.62,4.73,491.17,319.8,62.0,27.56,131,24.24,135,31,71,6.67
60대 후반,24,10,28,614.04,4.81,376.36,305.87,52.59,21.97,175,24.29,127,21,92,6.43
70대 중반,27,16,19,466.75,4.29,345.59,269.19,45.46,17.25,186,23.4,134,15,69,6.59
70대 초반,20,12,21,552.62,4.24,418.53,306.03,53.85,19.54,162,23.74,127,17,69,6.41
70대 후반,15,4,7,543.76,4.14,341.21,261.36,45.82,17.53,89,23.47,65,2,19,6.58
80세 이상,32,7,7,407.96,3.51,310.08,237.42,40.08,14.53,119,22.55,80,7,22,6.64
